name,price,url,image_url,type,size,vivino_score,store
Cape Original Sauvignon blanc alcoholvrij,5.99,https://www.ah.be/producten/product/wi564069,https://static.ah.nl/dam/product/AHI_6864355651483759532d69552d6230653465726e5141?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,2.8,Albert Heijn
AH Vol & droge Zuid-Afrikaanse wit wijntap,11.99,https://www.ah.be/producten/product/wi475973/ah-vol-en-droge-zuid-afrikaanse-wit-wijntap,https://static.ah.nl/dam/product/AHI_6e4f34376a77505352326171715957626a686f747277?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,,Albert Heijn
Undurraga Chardonnay,5.59,https://www.ah.be/producten/product/wi52034,https://static.ah.nl/dam/product/AHI_5036396e53415069526a2d76416e375f77416b584e41?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.3,Albert Heijn
AH Vol & halfzoete Zuid-Afrikaanse wit,4.99,https://www.ah.be/producten/product/wi222358/ah-vol-en-halfzoete-zuid-afrikaanse-wit,https://static.ah.nl/dam/product/AHI_67375659766a4473513953684d39327666554d4e3367?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,,Albert Heijn
AH Fris & droge Franse huiswijn wit,3.99,https://www.ah.be/producten/product/wi222357/ah-fris-en-droge-franse-huiswijn-wit,https://static.ah.nl/dam/product/AHI_6e53424c6f695f3953527544434661684f324c666641?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,2.7,Albert Heijn
Cono Sur Bicicleta chardonnay,6.49,https://www.ah.be/producten/product/wi411748,https://static.ah.nl/dam/product/AHI_4354523130313931343430?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.5,Albert Heijn
Vermeersch Grenache rosé bel,7.49,https://www.ah.be/producten/product/wi496769/vermeersch-grenache-rose-bel,https://static.ah.nl/dam/product/AHI_497759744b306b575357364b30555a42596662783777?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,Rosé,Other,3.5,Albert Heijn
AH Fris & droge Zuid-Afrikaanse witte wijn,4.99,https://www.ah.be/producten/product/wi222359/ah-fris-en-droge-zuid-afrikaanse-witte-wijn,https://static.ah.nl/dam/product/AHI_31347a7841514d6c547636356f797342657637396667?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.1,Albert Heijn
AH Moscato,4.99,https://www.ah.be/producten/product/wi222349,https://static.ah.nl/dam/product/AHI_4354523130303636383932?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.8,Albert Heijn
AH Biologisch Chardonnay,4.99,https://www.ah.be/producten/product/wi166918/ah-biologisch-chardonnay,https://static.ah.nl/dam/product/AHI_4575674c4256393853374337546e73386e7337727767?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,2.9,Albert Heijn
Undurraga Sauvignon blanc,5.59,https://www.ah.be/producten/product/wi30539,https://static.ah.nl/dam/product/AHI_434d50303331393832?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.3,Albert Heijn
