name,price,url,image_url,type,size,vivino_score
Casa Solis Carmenere Rouge 75cl,6.99,https://www.carrefour.be/fr/casa-solis-carmenere-rouge-75cl/07247649.html,https://cdn.carrefour.eu/420_07247649_M1_20250514.webp,Red,75cl,3.8
Bordeaux Château Holden A.O.C Rouge 75cl,9.99,https://www.carrefour.be/fr/bordeaux-chateau-holden-a.o.c-rouge-75cl/07247407.html,https://cdn.carrefour.eu/420_07247407_M1_20250610.webp,Red,75cl,3.4
Viñas del Lastra Cariñena Gran Reserva Rouge 75cl,6.99,https://www.carrefour.be/fr/vi%C3%B1as-del-lastra-cari%C3%B1ena-gran-reserva-rouge-75cl/07247435.html,https://cdn.carrefour.eu/420_07247435_M1_20250514.webp,Red,75cl,3.6
Stony Cape Pinotage Cabernet Sauvignon Rouge 75cl,6.49,https://www.carrefour.be/fr/stony-cape-pinotage-cabernet-sauvignon-rouge-75cl/05778637.html,https://cdn.carrefour.eu/420_05778637_T1.webp,Red,75cl,3.0
Alsace Tête à Tête Pinot Gris et Riesling Blanc 75cl,8.99,https://www.carrefour.be/fr/alsace-tete-a-tete-pinot-gris-et-riesling-blanc-75cl/04953161.html,https://cdn.carrefour.eu/420_04953161_M1_20210625.webp,White,75cl,3.7
Vins de Bag in Box Délices du Terroir Blanc 3L,9.99,https://www.carrefour.be/fr/vins-de-bag-in-box-delices-du-terroir-blanc-3l/07032647.html,https://cdn.carrefour.eu/420_07032647_main_20231114_01_PM.webp,White,Box,4.1
Tejo Babu Reserva Rouge 75cl,4.99,https://www.carrefour.be/fr/tejo-babu-reserva-rouge-75cl/06169226.html,https://cdn.carrefour.eu/420_06169226.webp,Red,75cl,3.6
Castilla-La-Mancha Mucho Mas Blanc 75cl,5.99,https://www.carrefour.be/fr/castilla-la-mancha-mucho-mas-blanc-75cl/06461968.html,https://cdn.carrefour.eu/420_06461968.webp,White,75cl,3.4
Entrecôte Père & Fils Merlot Cabernet Sauvignon Rouge 75cl,6.99,https://www.carrefour.be/fr/entrecote-pere-and-fils-merlot-cabernet-sauvignon-rouge-75cl/05743747.html,https://cdn.carrefour.eu/420_05743747_T1.webp,Red,75cl,3.2
Bordeaux Château Gandoy Perrinat Blanc 75cl,7.99,https://www.carrefour.be/fr/bordeaux-chateau-gandoy-perrinat-blanc-75cl/06579201.html,https://cdn.carrefour.eu/420_06579201_M1_20230320.webp,White,75cl,3.5
Grappe d'Or Vin Blanc Sec 37.5 cl,1.99,https://www.carrefour.be/fr/grappe-dor-vin-blanc-sec-37.5-cl/05654585.html,https://cdn.carrefour.eu/420_05654585_T1.webp,White,Other,1.9
Chablis Mathilde Lafleur Blanc 75cl,12.99,https://www.carrefour.be/fr/chablis-mathilde-lafleur-blanc-75cl/07071212.html,https://cdn.carrefour.eu/420_07071212_main_20240415_02_PM.webp,White,75cl,3.9
Memŏro Vino Rosso d'Italia Rouge 75 cl,7.99,https://www.carrefour.be/fr/mem%C5%8Fro-vino-rosso-ditalia-rouge-75-cl/05106088.html,https://cdn.carrefour.eu/420_05106088_T1.webp,Red,75cl,3.8
